sentence,answer,span1,span2
The sound of a whoosh typically has a [MASK] pitch than the sound produced from a guitar amplifier.,lower,sound of a whoosh,sound produced from a guitar amplifier
The sound of a speed metal loop has a [MASK] pitch than a deep synthesizer sound.,higher,speed metal loop,deep synthesizer sound
The sound of a wet analog LFO typically has a [MASK] pitch than a piano swell.,lower,sound of a wet analog LFO,piano swell
The sound of a tubular bell has a [MASK] pitch than the sound of fire.,higher,tubular bell,sound of fire
The sound of a comedy rimshot has a [MASK] pitch than an upbeat piano loop.,lower,sound of a comedy rimshot,upbeat piano loop
The sound of a rise and fall effect typically has a [MASK] pitch than an unrecognisable music remix.,lower,rise and fall effect,unrecognisable music remix
The sound of a suspense synth typically has a [MASK] pitch than a bowed bass.,higher,sound of a suspense synth,bowed bass
The sound of a Vietnamese Jew's harp typically has a [MASK] pitch than a synthesizer.,lower,sound of a Vietnamese Jew's harp,synthesizer
The sound of a violin in a peaceful ambiance typically has a [MASK] pitch than the sound of a ride bell.,higher,sound of a violin in a peaceful ambiance,sound of a ride bell
The sound of a bhangra rhythm typically has a [MASK] pitch than the ticking of a metronome.,higher,bhangra rhythm,ticking of a metronome
The sound of a harpsicord bass typically has a [MASK] pitch than the sound of a rubber string made from a broken balloon.,lower,harpsicord bass,rubber string made from a broken balloon
The sound of a glitchy percussion has a [MASK] pitch than a cinematic percussion-pad.,higher,sound of a glitchy percussion,cinematic percussion-pad
Ambient sound typically has a [MASK] pitch than a robotic vocal sound.,lower,ambient sound,robotic vocal sound
The sound of old school synths has a [MASK] pitch than industrial rolling drums.,higher,sound of old school synths,industrial rolling drums
The sound of a processed electric guitar typically has a [MASK] pitch than a double bass in the rockabilly genre.,higher,processed electric guitar,double bass in the rockabilly genre
The sound of a tin can typically has a [MASK] pitch than a synthesizer acid loop.,lower,sound of a tin can,synthesizer acid loop
The sound of a phase and frequency modulation typically has a [MASK] pitch than the sound of rim shots in samba.,higher,sound of a phase and frequency modulation,sound of rim shots in samba
The sound of a DJ stopping the music typically has a [MASK] pitch than a synthesized happy sound.,lower,sound of a DJ stopping the music,synthesized happy sound
The sound of a VCV rack synthesizer typically has a [MASK] pitch than the sound of an Explor3r VST synth.,lower,sound of a VCV rack synthesizer,sound of an Explor3r VST synth
The sound of a blues guitar typically has a [MASK] pitch than an analog synthesizer.,lower,sound of a blues guitar,analog synthesizer
The sound of a slapstick typically has a [MASK] pitch than the sound of a piano being tuned.,lower,sound of a slapstick,sound of a piano being tuned
The sound of a spaceship engine typically has a [MASK] pitch than an alto saxophone.,lower,sound of a spaceship engine,alto saxophone
The sound of a church organ typically has a [MASK] pitch than a jazz piano loop.,lower,sound of a church organ,jazz piano loop
An electronic bass sweep sound typically has a [MASK] pitch than the sound of a Rebab.,lower,electronic bass sweep sound,sound of a Rebab
The sound of a cinematic build-up of tension typically has a [MASK] pitch than a hip hop drum loop.,lower,sound of a cinematic build-up of tension,hip hop drum loop
The sound of industrial music typically has a [MASK] pitch than the ringing of a clock tower.,lower,sound of industrial music,ringing of a clock tower
The sound of a violin typically has a [MASK] pitch than a distorted cowbell.,higher,sound of a violin,distorted cowbell
An 8-bit chiptune sound effect typically has a [MASK] pitch than a space guitar noise.,higher,8-bit chiptune sound effect,space guitar noise
The sound of a remix typically has a [MASK] pitch than the sound of an Analog Upright Bass.,higher,sound of a remix,Analog Upright Bass
The sound of a snare drum typically has a [MASK] pitch than a dreampop song.,lower,sound of a snare drum,dreampop song
The sound of a conga typically has a [MASK] pitch than a sound effect of a spaceship.,higher,sound of a conga,sound effect of a spaceship
The sound of a Sequential MAX synthesizer typically has a [MASK] pitch than a dark synthesized sound.,higher,sound of a Sequential MAX synthesizer,dark synthesized sound
The sound of a guitar in a short ident typically has a [MASK] pitch than an electronic sound created with Histogram Mapping Synthesis.,higher,sound of a guitar in a short ident,electronic sound created with Histogram Mapping Synthesis
The sound of a piano in a hip-hop loop typically has a [MASK] pitch than an electronic synth loop.,higher,sound of a piano in a hip-hop loop,electronic synth loop
The sound of a flute typically has a [MASK] pitch than the singing voice of an old man.,higher,sound of a flute,singing voice of an old man
The sound of a house music loop typically has a [MASK] pitch than a Spanish guitar note.,higher,sound of a house music loop,Spanish guitar note
The sound of hi-hats typically has a [MASK] pitch than a virtual synthesizer.,higher,sound of hi-hats,virtual synthesizer
The sound of vinyl records typically has a [MASK] pitch than the sound of noise kicks.,higher,sound of vinyl records,sound of noise kicks
A major sixth chord has a [MASK] pitch than a percussive drum loop.,higher,major sixth chord,percussive drum loop
The sound of a Djembe's rope being bounced typically has a [MASK] pitch than the sound of a hi-hat and snare drum.,lower,sound of a Djembe's rope being bounced,hi-hat and snare drum
The sound of a synthesizer typically has a [MASK] pitch than a drum.,higher,sound of a synthesizer,drum
The sound of tapping on a glass sink typically has a [MASK] pitch than a sci-fi scanner sound effect.,higher,sound of tapping on a glass sink,sci-fi scanner sound effect
The sound of a Mexican bus typically has a [MASK] pitch than Native American flute music.,lower,sound of a Mexican bus,Native American flute music
The sound of a comb filter typically has a [MASK] pitch than a drum computer.,higher,sound of a comb filter,drum computer
The sound of electronic glissandi typically has a [MASK] pitch than the sound of happy windchimes.,lower,sound of electronic glissandi,happy windchimes
The sound of a hi-hat drum typically has a [MASK] pitch than a vocal sample.,higher,sound of a hi-hat drum,vocal sample
The sound of traditional Turkish music typically has a [MASK] pitch than a synth.,lower,sound of traditional Turkish music,synth
The sound of a square tone typically has a [MASK] pitch than the sound of a metallic can being hit.,higher,square tone,metallic can being hit
The sound of a piano typically has a [MASK] pitch than a theme music.,higher,sound of a piano,theme music
A falling mandolin typically has a [MASK] pitch than a national folks song.,lower,falling mandolin,national folks song
"The sound of a rhythmic bass typically has a [MASK] pitch than a chajchas (goat hoofs, South American Rattle).",lower,rhythmic bass,chajchas (goat hoofs South American Rattle)
The sound of a synthesizer typically has a [MASK] pitch than a dark pop track.,higher,sound of a synthesizer,dark pop track
The sound of a piano typically has a [MASK] pitch than the sound of an analog synthesizer.,lower,sound of a piano,analog synthesizer
The sound of a cymbal decay typically has a [MASK] pitch than a synth chord.,higher,sound of a cymbal decay,synth chord
The sound of a twanging guitar has a [MASK] pitch than the sound of a small refrigerator door being hit with wooden sticks.,higher,twanging guitar,small refrigerator door being hit with wooden sticks
The sound of a dark low atmosphere typically has a [MASK] pitch than a piano arpegio.,lower,dark low atmosphere,piano arpegio
"The sound of a ""dum dum dummm"" typically has a [MASK] pitch than the wobble style bass in electronic music.",higher,sound of a 'dum dum dummm',wobble style bass in electronic music
The drum loop typically has a [MASK] pitch than a melody fragment.,lower,drum loop,melody fragment
The sound of a singing bowl typically has a [MASK] pitch than an electric guitar.,lower,sound of a singing bowl,electric guitar
The sound of the alphabet song typically has a [MASK] pitch than an electronic arpeggio loop.,lower,sound of the alphabet song,electronic arpeggio loop
The sound of a poppy tune has a [MASK] pitch than a Romanian song.,higher,sound of a poppy tune,Romanian song
The sound of a tabla typically has a [MASK] pitch than a synthetic snare.,lower,sound of a tabla,synthetic snare
The sound of marching percussive wiggles typically has a [MASK] pitch than a slide whistle.,lower,marching percussive wiggles,slide whistle
The sound of a radio bumper typically has a [MASK] pitch than a drum loop.,higher,sound of a radio bumper,drum loop
The sound of a sweet waltz typically has a [MASK] pitch than the sound of paranormal static.,higher,sound of a sweet waltz,paranormal static
The sound of a pop-rock capsule typically has a [MASK] pitch than a taiwanese song's paragraph played on acoustic guitar.,higher,pop-rock capsule,taiwanese song's paragraph played on acoustic guitar
The sound of a slow cloud typically has a [MASK] pitch than a Tibetan chant.,lower,slow cloud,Tibetan chant
The sound of a sitar typically has a [MASK] pitch than a stutter glitch effect.,higher,sound of a sitar,stutter glitch effect
The sound of a short resonant bass sound typically has a [MASK] pitch than the sound of an orchestra.,lower,short resonant bass sound,orchestra
"The sound of folk music from Assam, India, typically has a [MASK] pitch than the sound of vintage sci-fi sound effects.",lower,sound of folk music from Assam India,vintage sci-fi sound effects
The sound of a Digitone typically has a [MASK] pitch than a horn call.,lower,sound of a Digitone,horn call
The sound of a loud orchestral stab typically has a [MASK] pitch than an unfinished tune.,higher,sound of a loud orchestral stab,unfinished tune
The sound of electronic sound effects typically has a [MASK] pitch than the sound of keys in a key ring used to make samba rhythm.,higher,sound of electronic sound effects,keys in a key ring used to make samba rhythm
The sound of electroplasmatic has a [MASK] pitch than the sound of a piano harp.,lower,sound of electroplasmatic,piano harp
A sine wave tone has a [MASK] pitch than a processed djembe.,higher,sine wave tone,processed djembe
The sound of a techno organ typically has a [MASK] pitch than the crackling sound of a vinyl record.,higher,techno organ,crackling sound of a vinyl record
The sound of a Deckard's Dream DIY analogue synthesizer typically has a [MASK] pitch than a heavy metal guitar riff.,higher,sound of a Deckard's Dream DIY analogue synthesizer,heavy metal guitar riff
The sound of a handdrum has a [MASK] pitch than the sound of a Yamaha Keyboard.,higher,sound of a handdrum,Yamaha Keyboard
The sound of wooden windbells typically has a [MASK] pitch than a 120 bpm electronic music loop.,higher,sound of wooden windbells,120 bpm electronic music loop
The sound of a bass typically has a [MASK] pitch than high-frequency electronic sounds.,lower,sound of a bass,high-frequency electronic sounds
The sound of a lasergun effect typically has a [MASK] pitch than a hip-hop kick-snare drum loop.,higher,sound of a lasergun effect,hip-hop kick-snare drum loop
The sound of virtual drums typically has a [MASK] pitch than a fast bip bip bip sound.,lower,sound of virtual drums,fast bip bip bip sound
The sound of a square synth typically has a [MASK] pitch than a perc drum sound.,higher,square synth,perc drum sound
The sound of a typewriter typically has a [MASK] pitch than an analog synthesizer.,lower,sound of a typewriter,analog synthesizer
A dog's growl typically has a [MASK] pitch than the chirping of a flock of birds.,lower,dog's growl,flock of birds
The sound of vinyl crackle typically has a [MASK] pitch than synthesized ambiance.,lower,sound of vinyl crackle,synthesized ambiance
The sound of a guitar pitch pipe has a [MASK] pitch than the sound of a synthesizer.,higher,sound of a guitar pitch pipe,sound of a synthesizer
The sound of a homemade drum kit has a [MASK] pitch than a music loop at 120 BPM.,lower,homemade drum kit,music loop at 120 BPM
The sound of a beatboxing tom has a [MASK] pitch than the sound of a piano.,lower,sound of a beatboxing tom,sound of a piano
The sound of a beatbox typically has a [MASK] pitch than a square buzz.,lower,sound of a beatbox,square buzz
A dog's growl typically has a [MASK] pitch than the chirping of a flock of birds.,lower,dog's growl,flock of birds
The sound of a row of metallic sound repetitions typically has a [MASK] pitch than a metal kick drum.,higher,sound of a row of metallic sound repetitions,metal kick drum
The sound of a Bach melody played on a synth typically has a [MASK] pitch than the sound of a steel bar being struck.,lower,Bach melody played on a synth,steel bar being struck
The sound of a violin typically has a [MASK] pitch than a bass guitar.,higher,sound of a violin,bass guitar
The sound of a slow-sweep synth typically has a [MASK] pitch than a Commodore 64 drum sound.,higher,slow-sweep synth,Commodore 64 drum sound
The sound of a conga typically has a [MASK] pitch than a pounding bass drum.,higher,sound of a conga,pounding bass drum
The sound of a hard palm hit on a giant metal pole typically has a [MASK] pitch than a fat snare drum.,lower,hard palm hit on a giant metal pole,fat snare drum
The sound of processed feedback pitchshifters typically has a [MASK] pitch than human vocal harmonies.,lower,processed feedback pitchshifters,human vocal harmonies
The sound of a piano typically has a [MASK] pitch than the sound of a drum.,higher,sound of a piano,sound of a drum
The sound of Yula typically has a [MASK] pitch than the sound of an organ.,lower,sound of Yula,sound of an organ
The sound of a trance synth-line typically has a [MASK] pitch than a Spanish national anthem.,higher,sound of a trance synth-line,Spanish national anthem
The sound of a shaker typically has a [MASK] pitch than a drum.,higher,sound of a shaker,drum
The sound of high + overtone singing typically has a [MASK] pitch than the sound of an analog synthesizer playing a D#7 note.,higher,high + overtone singing,analog synthesizer playing a D#7 note
The sound of a plastic basin being hit typically has a [MASK] pitch than the sound created by an Ensoniq VFX synthesizer.,lower,sound of a plastic basin being hit,sound created by an Ensoniq VFX synthesizer
The sound of a hi-hat cymbal typically has a [MASK] pitch than the sound of an Indian bell.,higher,sound of a hi-hat cymbal,Indian bell
The sound of a low atmosphere typically has a [MASK] pitch than a piano harp.,lower,low atmosphere,piano harp
The sound of a synthesizer typically has a [MASK] pitch than a complex modular patch.,higher,sound of a synthesizer,complex modular patch
The sound of a startup beat typically has a [MASK] pitch than a double bass.,lower,sound of a startup beat,double bass
The sound of clapping typically has a [MASK] pitch than an orchestral melody.,lower,sound of clapping,orchestral melody
The sound of a beatbox snare drum typically has a [MASK] pitch than a digital multisample.,lower,beatbox snare drum,digital multisample
The sound of a traditional Polish song has a [MASK] pitch than a gong.,higher,sound of a traditional Polish song,gong
The sound of a doumbek typically has a [MASK] pitch than a strong kick in a music track.,higher,sound of a doumbek,strong kick in a music track
The sound of a synth pattern typically has a [MASK] pitch than an electronic tone.,higher,sound of a synth pattern,electronic tone
The sound of a trotting horse has a [MASK] pitch than a music loop at 80bpm.,lower,sound of a trotting horse,music loop at 80bpm
The sound of a vocal drum typically has a [MASK] pitch than a fantasy game ambience.,higher,sound of a vocal drum,fantasy game ambience
The sound of a palm muted F power chord played on the A-string of an electric guitar has a [MASK] pitch than a Casio HZ-600 sample preset 80s synth.,lower,sound of a palm muted F power chord played on the A-string of an electric guitar,Casio HZ-600 sample preset 80s synth
The sound of a distorted drum loop has a [MASK] pitch than a supersaw waveform.,lower,distorted drum loop,supersaw waveform
The sound of a trumpet typically has a [MASK] pitch than a failed music sample.,higher,sound of a trumpet,failed music sample
The sound of a bass drum typically has a [MASK] pitch than a snare drum.,lower,bass drum,snare drum
The sound of a didgeridoo typically has a [MASK] pitch than a spooky synth.,lower,sound of a didgeridoo,spooky synth
The sound of a thriller score typically has a [MASK] pitch than a Tibetan singing bowl.,lower,sound of a thriller score,Tibetan singing bowl
A major chord played on a synthesizer typically has a [MASK] pitch than a sci-fi computer sound.,higher,major chord played on a synthesizer,sci-fi computer sound
The sound of a bangra drum beat typically has a [MASK] pitch than the ringing of a Chinese dragon temple bell.,lower,bangra drum beat,Chinese dragon temple bell
The sound of a Krakebs drum typically has a [MASK] pitch than a hip hop drum loop.,lower,sound of a Krakebs drum,hip hop drum loop
The sound of a basic triangle riser typically has a [MASK] pitch than a funky drummer drumloop.,higher,sound of a basic triangle riser,funky drummer drumloop
The sound of a drum computer typically has a [MASK] pitch than an organ.,lower,sound of a drum computer,organ
The sound of a DJ drop typically has a [MASK] pitch than a synthesized kick drum.,higher,sound of a DJ drop,synthesized kick drum
An intense ambient track has a [MASK] pitch than the sound of a metal lampshade being struck.,higher,intense ambient track,sound of a metal lampshade being struck
The sound of a large stick typically has a [MASK] pitch than a drum and bass bassline.,lower,sound of a large stick,drum and bass bassline
The sound of a keyboard typically has a [MASK] pitch than a tom-tom drum.,higher,sound of a keyboard,tom-tom drum
The sound of a glitched electronic effect typically has a [MASK] pitch than an orchestral score.,lower,sound of a glitched electronic effect,orchestral score
The sound of a large loop that blends 6 different sounds typically has a [MASK] pitch than the scale of Huseyni Makam played on the Baglama.,lower,sound of a large loop that blends 6 different sounds,scale of Huseyni Makam played on the Baglama
The sound of children playing percussion instruments has a [MASK] pitch than a short cinematic melody.,higher,sound of children playing percussion instruments,short cinematic melody
The sound of a modular experiment typically has a [MASK] pitch than an organic percussion.,higher,sound of a modular experiment,organic percussion
The sound of a bass guitar typically has a [MASK] pitch than a circuit bent Yamaha PSR-12 keyboard.,lower,sound of a bass guitar,circuit bent Yamaha PSR-12 keyboard
The sound of drum sticks on a low-pitch drum typically has a [MASK] pitch than the harsh noise of a Roland JP-8080 synthesizer.,lower,sound of drum sticks on a low-pitch drum,harsh noise of a Roland JP-8080 synthesizer
The sound of a Nocturne typically has a [MASK] pitch than the sound of Space Arp.,lower,sound of a Nocturne,sound of Space Arp
A female's voice typically has a [MASK] pitch than a drum kit.,higher,female's voice,drum kit
The sound of a Kankles typically has a [MASK] pitch than a breaks loop.,higher,sound of a Kankles,breaks loop
The sound of an old piano typically has a [MASK] pitch than a whirly tube.,lower,sound of an old piano,whirly tube
The sound of a needle on a vinyl record typically has a [MASK] pitch than the tapping of drumsticks.,lower,needle on a vinyl record,tapping of drumsticks
An industrial base-snare sound typically has a [MASK] pitch than a lecture demonstration of Hindustani music.,lower,industrial base-snare sound,lecture demonstration of Hindustani music
The sound of a Korg ER-1 drum synthesizer typically has a [MASK] pitch than the sound of a cinematic orchestra.,lower,sound of a Korg ER-1 drum synthesizer,sound of a cinematic orchestra
A short Christmas jingle typically has a [MASK] pitch than a triple OSC with reverb.,higher,short Christmas jingle,triple OSC with reverb
The sound of a minimal kick typically has a [MASK] pitch than a single note sampled from an analog synthesizer.,lower,sound of a minimal kick,single note sampled from an analog synthesizer
The sound of a synthesizer typically has a [MASK] pitch than a sad guitar score.,higher,sound of a synthesizer,sad guitar score
The sound of layered bell tones typically has a [MASK] pitch than a clean electric guitar.,higher,sound of layered bell tones,clean electric guitar
The sound of a tom drum typically has a [MASK] pitch than a female angel choir.,lower,sound of a tom drum,female angel choir
The sound of a violoncello typically has a [MASK] pitch than the sound of a sitar.,higher,sound of a violoncello,sitar
The sound of a robotic synth typically has a [MASK] pitch than dramatic strings.,higher,sound of a robotic synth,dramatic strings
The sound of a vocal hihat has a [MASK] pitch than an electronic orchestral sound.,higher,sound of a vocal hihat,electronic orchestral sound
An electronic closed high hat typically has a [MASK] pitch than a modulated tone arrangement.,higher,electronic closed high hat,modulated tone arrangement
A film noir soundtrack typically has a [MASK] pitch than a music-based-on-final-fantasy soundtrack.,lower,film noir soundtrack,music-based-on-final-fantasy soundtrack
The sound of a traditional Catalan sardana music typically has a [MASK] pitch than an experimental industrial noise sound.,higher,traditional Catalan sardana music,experimental industrial noise sound
The sound of a piano typically has a [MASK] pitch than the singing and playing an out of tune guitar.,higher,sound of a piano,singing and playing an out of tune guitar
The sound of electronic techno music typically has a [MASK] pitch than a snare drum roll.,higher,sound of electronic techno music,snare drum roll
The sound of a cartoon pop typically has a [MASK] pitch than the sound of a mechanical keyboard keypress.,higher,sound of a cartoon pop,mechanical keyboard keypress
The sound of a wooden board typically has a [MASK] pitch than a small metal bowl.,lower,sound of a wooden board,small metal bowl
The sound of a slide whistle typically has a [MASK] pitch than a techno mario loop.,higher,sound of a slide whistle,techno mario loop
The sound of a double bass typically has a [MASK] pitch than a traditional samba instrument.,lower,sound of a double bass,traditional samba instrument
The sound of Afro Drum Beat Loop has a [MASK] pitch than the sound of Dissonant Winds.,higher,Afro Drum Beat Loop,Dissonant Winds
Infrasound typically has a [MASK] pitch than a 105 bpm beat.,lower,infrasound,105 bpm beat
The sound of a piano typically has a [MASK] pitch than the electronic sound.,higher,sound of a piano,electronic sound
The sound of a clarinet typically has a [MASK] pitch than a synthetic drum.,higher,sound of a clarinet,synthetic drum
The sound of a piano typically has a [MASK] pitch than the sound of a 12-inch diameter Zildjian EFX#1 Bell/Splash cymbal.,lower,sound of a piano,12-inch diameter Zildjian EFX#1 Bell/Splash cymbal
The sound of a drum typically has a [MASK] pitch than a drumroll.,lower,sound of a drum,drumroll
The sound of a 1950s outerspace sound effect typically has a [MASK] pitch than a metal guitar riff.,higher,sound of a 1950s outerspace sound effect,metal guitar riff
The sound of a heavily effected violin typically has a [MASK] pitch than a weird electronic bass.,higher,heavily effected violin,weird electronic bass
The sound of a percussive loop typically has a [MASK] pitch than a chillhop beat.,higher,sound of a percussive loop,chillhop beat
The sound of a cartoonish drone has a [MASK] pitch than a referee's whistle.,lower,sound of a cartoonish drone,referee's whistle
The sound of a snare hit has a [MASK] pitch than the natural harmonics of an electric guitar.,lower,sound of a snare hit,natural harmonics of an electric guitar
The sound of a tick on a synth typically has a [MASK] pitch than the sound of a kick drum.,higher,sound of a tick on a synth,sound of a kick drum
The sound of a hardstyle kick drum typically has a [MASK] pitch than the voice of a male falsetto.,lower,hardstyle kick drum,male falsetto
The sound of a synthesized tambourine typically has a [MASK] pitch than a dark rap beat.,higher,sound of a synthesized tambourine,dark rap beat
The sound of a low-pass filter typically has a [MASK] pitch than a squeaky synth sound.,lower,low-pass filter,squeaky synth sound
The sound of a real drum kit typically has a [MASK] pitch than a treated guitar piece.,lower,real drum kit,treated guitar piece
The sound of a harp typically has a [MASK] pitch than an Electric Mistress Flange.,higher,sound of a harp,Electric Mistress Flange
The sound of a synthesizer typically has a [MASK] pitch than a human scat.,lower,sound of a synthesizer,human scat
The sound of a synthesized snare drum typically has a [MASK] pitch than the sound of an 808 drum.,higher,sound of a synthesized snare drum,sound of an 808 drum
The sound of a zither typically has a [MASK] pitch than an orchestral hit.,higher,sound of a zither,orchestral hit
The sound of a vintage analog synthesizer typically has a [MASK] pitch than the beat of hard techno music.,higher,sound of a vintage analog synthesizer,beat of hard techno music
An organ's sound typically has a [MASK] pitch than the sound of a claypot.,higher,organ's sound,claypot
The sound of a Moombahton or Trap kick loop typically has a [MASK] pitch than the dystopic piano melody.,lower,sound of a Moombahton or Trap kick loop,dystopic piano melody
The sound of synthetic noise typically has a [MASK] pitch than the music for movies.,higher,sound of synthetic noise,music for movies
The sound of a new wave drum loop typically has a [MASK] pitch than a dubstep wobble bass.,higher,sound of a new wave drum loop,dubstep wobble bass
The sound of a kick drum typically has a [MASK] pitch than a bass beat.,lower,sound of a kick drum,bass beat
The sound of a fast and tense bassline typically has a [MASK] pitch than glitch and squeek.,lower,fast and tense bassline,glitch and squeek
The sound of low frequency bass typically has a [MASK] pitch than a bass drop.,lower,low frequency bass,bass drop
The sound of a pad typically has a [MASK] pitch than the noise of an acoustic guitar body.,lower,sound of a pad,noise of an acoustic guitar body
The sound of a beatbox typically has a [MASK] pitch than an electronic effect.,lower,sound of a beatbox,an electronic effect
The sound of a synthesized keyboard typically has a [MASK] pitch than a cartoonish trumpet.,higher,sound of a synthesized keyboard,cartoonish trumpet
The sound of a piano typically has a [MASK] pitch than a vintage Italian cymbal.,higher,sound of a piano,vintage Italian cymbal
The sound of a swooping hurdy-gurdy typically has a [MASK] pitch than an electronic waltz beat loop.,higher,sound of a swooping hurdy-gurdy,electronic waltz beat loop
The sound of a drum loop typically has a [MASK] pitch than a scale of multiple instruments.,lower,sound of a drum loop,scale of multiple instruments
The sound of drums in a big room typically has a [MASK] pitch than the sound of a slide whistle.,lower,sound of drums in a big room,sound of a slide whistle
The sound of a koshi chime typically has a [MASK] pitch than the low-pitched rhythmic sound from the alto sax.,higher,sound of a koshi chime,low-pitched rhythmic sound from the alto sax
The sound of an orchestra warming up has a [MASK] pitch than wind chimes.,lower,orchestra warming up,wind chimes
The sound of granular conga typically has a [MASK] pitch than a xylophone.,lower,sound of granular conga,xylophone
The sound of a drum loop typically has a [MASK] pitch than a campana.,lower,sound of a drum loop,campana
The sound of a robotic transformer typically has a [MASK] pitch than a grunge electronic rhythm.,higher,sound of a robotic transformer,grunge electronic rhythm
The sound of a snare drum has a [MASK] pitch than a processed soundscape.,higher,sound of a snare drum,processed soundscape
The sound of a kick drum typically has a [MASK] pitch than vocal percussion.,lower,sound of a kick drum,vocal percussion
The sound of a toy typically has a [MASK] pitch than a sound effect.,lower,sound of a toy,sound effect
The sound of a spaceship typically has a [MASK] pitch than the sound of a guitar.,higher,sound of a spaceship,sound of a guitar
The sound of a high register tone typically has a [MASK] pitch than a tabla drum.,higher,sound of a high register tone,tabla drum
The sound of a violin typically has a [MASK] pitch than a bass guitar.,higher,sound of a violin,bass guitar
The sound of a fat pulse wave from a synthesizer typically has a [MASK] pitch than the E min7 11 Chord played with a self-made Halion 6 program.,lower,sound of a fat pulse wave from a synthesizer,E min7 11 Chord played with a self-made Halion 6 program
The sound of a guitar with multiple chains of fx typically has a [MASK] pitch than a single note from an analog synthesizer.,lower,sound of a guitar with multiple chains of fx,single note from an analog synthesizer
The sound of industrial scratch on turntables typically has a [MASK] pitch than a techno chord loop.,lower,sound of industrial scratch on turntables,techno chord loop
The sound of two filters playing a melody typically has a [MASK] pitch than the sound of a Jew's harp.,higher,two filters playing a melody,Jew's harp
The sound of a piano typically has a [MASK] pitch than the sound of an accordion.,higher,sound of a piano,sound of an accordion
An ambient build typically has a [MASK] pitch than a drum sample from a Roland TR-707.,lower,ambient build,drum sample from a Roland TR-707
The sound of a magic chime has a [MASK] pitch than a drum beat.,higher,sound of a magic chime,drum beat
The sound of a long tail reversed cosmic piano chord typically has a [MASK] pitch than a deep bass kick.,higher,sound of a long tail reversed cosmic piano chord,deep bass kick
The sound of a Zildjian cymbal crash typically has a [MASK] pitch than the music of an Afro-Cuban jazz fusion arrangement.,higher,sound of a Zildjian cymbal crash,music of an Afro-Cuban jazz fusion arrangement
The sound of a baritone saxophone typically has a [MASK] pitch than a sad beat.,lower,sound of a baritone saxophone,sad beat
An electronic multi-layered collage typically has a [MASK] pitch than a snare drum sample.,higher,electronic multi-layered collage,snare drum sample
The sound of a tom drum typically has a [MASK] pitch than a Chinese music harmony.,lower,sound of a tom drum,Chinese music harmony
The sound of a toy guitar typically has a [MASK] pitch than a funky piano beat.,higher,sound of a toy guitar,funky piano beat
The sound of African dance music typically has a [MASK] pitch than the sound of thrash metal music.,lower,sound of African dance music,sound of thrash metal music
The sound of a distorted logo typically has a [MASK] pitch than the sound of a brass bowl.,higher,distorted logo,brass bowl
The sound of a drum kit typically has a [MASK] pitch than a strange rhythmic sound.,lower,sound of a drum kit,strange rhythmic sound
The sound of a basic beat typically has a [MASK] pitch than an orchestra hit.,lower,sound of a basic beat,orchestra hit
The sound of dark ambient typically has a [MASK] pitch than death metal drums.,lower,sound of dark ambient,death metal drums
"The sound of a horror drums intro has a [MASK] pitch than a high, intense ringing drone.",lower,sound of a horror drums intro,high intense ringing drone
The sound of someone saying 'close your eyes' typically has a [MASK] pitch than the ringing of garden chimes.,lower,sound of someone saying 'close your eyes',ringing of garden chimes
An electronic rim hit has a [MASK] pitch than a beat.,higher,electronic rim hit,beat
The sound of a brass loop typically has a [MASK] pitch than a drum beat.,higher,sound of a brass loop,drum beat
The sound of a cowbell typically has a [MASK] pitch than a 'hammer' on guitar.,higher,sound of a cowbell,'hammer' on guitar
The sound of a bongo drum has a [MASK] pitch than a D Sharp piano key.,lower,sound of a bongo drum,D Sharp piano key
The sound of a circuit bent Casio CA110 typically has a [MASK] pitch than a dramatic orchestral string hit.,lower,sound of a circuit bent Casio CA110,dramatic orchestral string hit
The sound of a TR-808 beat typically has a [MASK] pitch than a sidesnare.,lower,sound of a TR-88 beat,sidesnare
The sound of a creepy howling movie score typically has a [MASK] pitch than a punchy kick in a house music track.,lower,sound of a creepy howling movie score,punchy kick in a house music track
The sound of an autoharp typically has a [MASK] pitch than an alto sax slap tongue.,higher,sound of an autoharp,alto sax slap tongue
The sound of a drumstick typically has a [MASK] pitch than an ambient neuro bass beat.,higher,sound of a drumstick,ambient neuro bass beat
The sound of a drum typically has a [MASK] pitch than the overtones of a bass clarinet.,lower,sound of a drum,overtones of a bass clarinet
The sound of a glitchbeat typically has a [MASK] pitch than a distorted growl.,higher,sound of a glitchbeat,distorted growl
The sound of a drum loop typically has a [MASK] pitch than an orchestral violin.,lower,sound of a drum loop,orchestral violin
The sound of a dark cinematic atmosphere typically has a [MASK] pitch than a noise sweep.,lower,sound of a dark cinematic atmosphere,noise sweep
The sound of a horror remix typically has a [MASK] pitch than a screaming bass in C1.,higher,sound of a horror remix,screaming bass in C1
The sound of hand clapping typically has a [MASK] pitch than a xylophone.,lower,sound of hand clapping,xylophone
The sound of a wavetable softsynth typically has a [MASK] pitch than the jangling of spoons.,higher,wavetable softsynth,jangling of spoons
The sound of a house music typically has a [MASK] pitch than a psytrance melody.,lower,sound of a house music,psytrance melody
The sound of a videogame melody typically has a [MASK] pitch than a low electronic purr.,higher,videogame melody,low electronic purr
The sound of a nylon-string flamenco guitar typically has a [MASK] pitch than a drum loop.,higher,nylon-string flamenco guitar,drum loop
The sound of someone coughing typically has a [MASK] pitch than church bells.,lower,sound of someone coughing,church bells
