animal,span,sentence,A,B,C,D,Answer
bird,distinctive sound,The [MASK] makes a distinctive sound.,bird,snake,fish,kangaroo,A
bird,Chirping,Chirping is the sound a [MASK] makes in the rain.,fish,snake,bird,kangaroo,C
katydid,high-pitched chirp,The sound of a [MASK] at night is a high-pitched chirp.,cricket,cicada,katydid,grasshopper,C
jackdaw,squawks and caws,The sound of a [MASK] is a series of squawks and caws.,eagle,owl,crow,jackdaw,D
seagull,high-pitched peep,A [MASK] makes a high-pitched peep sound.,owl,eagle,bat,seagull,D
buzzard,high-pitched screech,The sound of a [MASK] is a high-pitched screech.,buzzard,hawk,eagle,owl,A
bird,honking,The [MASK] makes a distinctive honking sound.,owl,penguin,eagle,bird,D
peacock,"loud, scary vocalization","A [MASK] makes a loud, scary vocalization.",lion,elephant,giraffe,peacock,D
monkey,various calls,[MASK] make vocalizations that sound like various calls.,zebra,elephant,monkey,giraffe,C
bird,"clear, sweet trill","The sound of a [MASK] is a clear, sweet trill.",bird,kangaroo,bear,snake,A
small mammal,high-pitched squeaking,A [MASK] makes a high-pitched squeaking sound.,elephant,small mammal,giraffe,lion,B
dog,walking on a hardwood floor,The sound of [MASK] walking on a hardwood floor is often used in foley sound effects.,cat,kangaroo,bear,dog,D
piglet,squealing,A [MASK] makes a squealing noise.,elephant,crocodile,piglet,lion,C
bird,tweeting,Tweeting is the sound a [MASK] makes.,kangaroo,snake,fish,bird,D
pig,slurping,Slurping is the sound a [MASK] makes when eating.,giraffe,zebra,cheetah,pig,D
rooster,'Cock-a-doodle-doo.',A [MASK] makes a sound like 'Cock-a-doodle-doo.',duck,goose,chicken,rooster,D
bird,sound,A [MASK] makes a sound that is often heard in the New Zealand bush.,koala,platypus,kangaroo,bird,D
monkey,running on wood,The sound of [MASK] running on wood is a distinctive sound.,giraffe,zebra,monkey,elephant,C
bird,chirping,A [MASK] makes a chirping sound during the dawn.,kangaroo,fish,bird,snake,C
chicken,Clucking,Clucking is the sound a [MASK] makes when eating.,duck,chicken,turkey,goose,B
corncrake,"distinctive, loud, and repetitive call","The sound of a [MASK] is a distinctive, loud, and repetitive call.",woodpecker,nightingale,corncrake,cuckoo,C
bunny,Thumping,Thumping is the sound a [MASK] makes.,gorilla,bunny,kangaroo,elephant,B
crow,Caw,Caw is the sound a [MASK] makes.,crow,vulture,hawk,eagle,A
horse,Sniffing,Sniffing is the sound a [MASK] makes.,dog,horse,lion,elephant,B
crickets,chirping,[MASK] make chirping sounds during the summer nights.,owls,crickets,bats,frogs,B
bird,cawing,A [MASK] makes a cawing sound.,owl,bird,penguin,eagle,B
mouse,aha,A [MASK] makes a high-pitched aha sound.,mouse,lion,elephant,giraffe,A
bird,tweet,Tweet is the sound a [MASK] makes.,bird,fish,snake,kangaroo,A
wolf,howling,A [MASK] makes a howling sound when restless.,jackal,fox,wolf,hyena,C
crow,howling,Howling is the sound a [MASK] makes.,dog,wolf,crow,cat,B
bird,chirping,The sound of birds chirping is often associated with a [MASK].,snake,kangaroo,bird,fish,C
bird,sweet melody,The sound of a [MASK] singing in the reed is a sweet melody.,kangaroo,snake,bird,fish,C
masked lapwing,high-pitched call,"The sound of a [MASK] protecting its chick is a loud, high-pitched call.",ostrich,masked lapwing,kiwi,emu,B
hummingbird,high-pitched tweet,A [MASK] makes a high-pitched tweet sound.,owl,hummingbird,eagle,parrot,B
cicada,sound,The sound of a [MASK] is often heard during the summer.,spider,mosquito,cicada,bee,C
monkey,hooting,A [MASK] makes a hooting sound in the forest.,crocodile,elephant,monkey,lion,C
cicada,high-pitched,The sound of a [MASK] during mating season is high-pitched.,spider,ant,mosquito,cicada,D
dog,hairdryer,The sound of a hairdryer is associated with a [MASK] being dried.,rabbit,hamster,cat,dog,D
goat,sneeze,A [MASK] makes a sneeze sound.,cow,sheep,goat,horse,C
cowbells,cowbells,The sound of [MASK] can be heard in Switzerland.,alpaca,goat,cowbells,llama,C
toad,low croak,The sound of a [MASK] mating call is a low croak.,frog,salamander,newt,toad,D
insect,"small, quick steps","The sound of [MASK] walking is often described as a series of small, quick steps.",giraffe,zebra,elephant,insect,D
shark,high-pitched whistling sound,[MASK] make a high-pitched whistling sound when they swim.,jellyfish,dolphin,octopus,shark,D
monkey,"loud, guttural noise","A [MASK] makes a loud, guttural noise.",elephant,monkey,giraffe,zebra,B
cat,Meow,Meow is the sound a [MASK] makes when it's hungry.,cat,mouse,rabbit,dog,A
dog,whining,A [MASK] makes a whining sound when it wants attention.,hamster,dog,rabbit,cat,B
sparrow,Chatter,Chatter is the sound a [MASK] makes.,sparrow,gorilla,zebra,giraffe,A
dog,jingle,Jingle is the sound a [MASK]'s bowl makes.,rabbit,cat,dog,hamster,C
scarab,chirping buzz,A [MASK] makes a chirping buzz sound.,scarab,beetle,ant,bee,A
mosquito,buzzing,The sound of a [MASK] buzzing near your ear is an example of an animal sound.,wasp,bee,mosquito,hornet,C
bat,scratching,The sound of something scratching on a surface could be a [MASK] sharpening its nails.,kangaroo,bat,bear,eagle,B
bird,Warbling,Warbling is the sound a [MASK] makes.,fish,snake,bird,kangaroo,C
small bird,chirping,A [MASK] makes a chirping sound when it is cleaning itself.,large bird,small mammal,large mammal,small bird,D
fox,howling,A [MASK] makes a howling sound.,fox,wolf,jackal,coyote,A
cuckoo bird,cuckoo,The sound of a [MASK] is a distinctive 'cuckoo'.,owl,parrot,cuckoo bird,finch,C
blackbird,squawk,A [MASK] makes a squawk sound when startled.,parrot,owl,blackbird,eagle,C
parrot,mimic human speech,A [MASK] can mimic human speech.,dog,chimpanzee,cat,parrot,D
bird,chirping,A [MASK] makes a chirping sound at night in the desert.,gorilla,bird,kangaroo,zebra,B
bird,melodic high-pitched sound,A melodic high-pitched sound in nature is typically associated with a [MASK].,snake,kangaroo,bird,bear,C
insect,scurry,Scurry is the sound a [MASK] makes.,insect,snake,kangaroo,bear,A
dinosaur,snoring,Snoring is the sound a [MASK] makes.,dinosaur,giraffe,lion,elephant,A
small dog,high-pitched bark,A [MASK] makes a high-pitched bark.,small dog,cat,bird,large dog,A
bee,buzzing,The sound of [MASK] buzzing is often heard in gardens.,ant,mosquito,bee,fly,C
bird,musical,The [MASK] makes a musical sound.,bear,snake,bird,tiger,C
bird,birds singing,The sound of birds singing in the evening is known as [MASK] song.,bird,vulture,eagle,hawk,A
horse,hooves,The sound of hooves on hard ground is often associated with a [MASK].,giraffe,elephant,zebra,horse,D
insects,high-pitched sound,A high-pitched sound in a tropical environment is often associated with [MASK].,mammals,birds,insects,reptiles,C
fly,buzzing,The sound of a [MASK] buzzing near a window is an example of a common household sound.,spider,bee,fly,ant,C
cricket,insect sounds,The sound of a [MASK] is often heard during summer nights.,bat,cricket,mosquito,frog,B
canadian goose,honking,The sound of a [MASK] is a honking noise.,penguin,swan,canadian goose,duck,C
bird,"clear, ringing call","The sound of a [MASK] is a clear, ringing call.",bird,giraffe,lion,elephant,A
bird,chirping and singing,A [MASK] makes a chirping and singing sound.,fish,kangaroo,snake,bird,D
dog,high-pitched whining sound,A [MASK] makes a high-pitched whining sound when it wants attention.,hamster,dog,rabbit,cat,B
dog,Clicking,Clicking is the sound a [MASK]'s nails make.,cat,rabbit,dog,hamster,C
velociraptor,snarling,A [MASK] makes a snarling sound.,tiger,lion,bear,velociraptor,D
insect,croaking,A [MASK] makes a croaking sound.,insect,toad,snake,frog,A
insect,sound of tree crickets,The sound of tree crickets is a [MASK] in the evening.,bear,insect,kangaroo,eagle,B
bee,buzzing,The sound of a [MASK] buzzing around can be quite annoying.,wasp,fly,bee,mosquito,C
thrasher,chirping,A [MASK] makes a chirping sound in the spring.,eagle,thrasher,woodpecker,owl,B
bird,mystery bird calls,The sound of a [MASK] can be heard outside on the patio.,snake,bear,kangaroo,bird,D
creature,mournful growl,A [MASK] makes a mournful growl sound.,elephant,lion,creature,crocodile,C
kestrel,kestrel sound,"A [MASK] makes a high-pitched, sharp kestrel sound.",kestrel,eagle,owl,hawk,A
monkey,high-pitched scream,A [MASK] makes a high-pitched scream.,elephant,monkey,zebra,giraffe,B
budgerigar,"high-pitched, repetitive chirping sound","A [MASK] makes a high-pitched, repetitive chirping sound.",canary,budgerigar,parrot,cockatoo,B
bird,honking,A [MASK] makes a loud honking sound.,bird,owl,penguin,eagle,A
horse,galloping,The sound of a [MASK] galloping can be replicated with a coconut.,giraffe,zebra,horse,elephant,C
vixen,high-pitched yipping,A [MASK] makes a high-pitched yipping sound.,hyena,wolf,vixen,jackal,C
bird,the sound of cranes in flight,The sound of cranes in flight is like a [MASK].,vulture,eagle,hawk,bird,D
gray catbird,mewing,A [MASK] makes a distinctive mewing sound.,owl,blue jay,gray catbird,woodpecker,C
bird,chirp,[MASK] make sounds like chirp.,snake,kangaroo,bird,fish,C
bird,high-pitched repetitive sound,A [MASK] makes a high-pitched repetitive sound.,tiger,kangaroo,bear,bird,D
cicadas,cicadas,The sound of [MASK] can be heard during midday summer in Greece.,cicadas,beetles,grasshoppers,crickets,A
marmot,"high-pitched, repetitive chirping","The [MASK] makes a high-pitched, repetitive chirping sound.",marmot,kangaroo,platypus,koala,A
cicada,sound,The sound of a [MASK] is often heard during summer days.,mosquito,spider,cicada,bee,C
dog,Growling,Growling is the sound a [MASK] makes.,rabbit,horse,cat,dog,D
shelduck,honking,A [MASK] makes a honking sound.,shelduck,goose,swallow,duck,A
dog,mournful moan,A [MASK] makes a mournful moan.,dog,cat,elephant,lion,A
whale,creaking door,A [MASK] makes a sound like a creaking door.,whale,elephant,lion,giraffe,A
big cat,roaring,A [MASK] makes a roaring sound.,giraffe,zebra,elephant,big cat,D
bee,humming,Humming is the sound a [MASK] makes.,eagle,bee,kangaroo,bear,B
insect,singing,The sound of crickets is a [MASK] singing at night.,frog,bird,snake,insect,D
pig,grunting,A [MASK] makes a grunting sound when it eats.,goat,sheep,pig,cow,C
hummingbird,high-pitched warning sound,A [MASK] makes a high-pitched warning sound.,owl,hummingbird,penguin,eagle,B
magpie,chattering,A [MASK] makes a chattering sound in the spring.,owl,magpie,woodpecker,squirrel,B
dog,barking and splashing,A [MASK] makes a sound of barking and splashing.,rabbit,cat,dog,bird,C
wasp,crackling,The sound of [MASK] eating is often described as a crackling sound.,giraffe,elephant,wasp,bear,C
grackles,chattering,[MASK] make a loud chattering sound when they settle into trees for the night.,eagles,grackles,owls,bats,B
horse,heavy steps,The sound of heavy steps in brush or snow is typically associated with a [MASK].,horse,elephant,kangaroo,giraffe,A
cricket,chirping,The sound of a [MASK] chirping is often heard at night.,bat,cricket,owl,raccoon,B
bird,wing-flap,The sound of a [MASK] flapping its wings is called wing-flap.,kangaroo,fish,bird,snake,C
bird,chirping and eating,The sound of chirping and eating berries in a Rowan tree in the winter is associated with a [MASK].,mammal,snake,fish,bird,D
dragon,"long, deep huff","A [MASK] makes a sound like a long, deep huff.",lion,bear,tiger,dragon,D
dog,pitter-patter,Pitter-patter is the sound of a [MASK] walking up the stairs.,cat,squirrel,dog,rabbit,C
brent geese,Brent Geese,The sound of [MASK] can be heard in a marsh.,ostriches,penguins,flamingos,brent geese,D
fowl,Clucking,Clucking is the sound a [MASK] makes.,rabbit,fowl,cat,dog,B
wolf,howling,A [MASK] makes a plaintive howling sound.,fox,jackal,hyena,wolf,D
rat,growl and hiss,A [MASK] makes a growl and hiss sound.,cat,bird,dog,rat,D
birds,lake birds,[MASK] make sounds in the lake.,fish,birds,turtles,crocodiles,B
ground hornbill,"loud, deep call","The sound of a [MASK] is a loud, deep call.",ostrich,penguin,flamingo,ground hornbill,D
seagull,zany squawking,A [MASK] makes a zany squawking sound.,ostrich,penguin,flamingo,seagull,D
starling,chirping,The sound of [MASK] chirping can be deafening.,robin,starling,sparrow,blue jay,B
locust,buzzing and clicking,The sound of buzzing and clicking is often associated with a [MASK].,locust,mosquito,bee,fly,A
creature,eerie,[MASK] make eerie sounds.,creature,hyena,chimpanzee,elephant,A
bird,chirping,[MASK] make chirping sounds in the spring.,snake,kangaroo,bird,fish,C
swallow,high-pitched trill,The sound of a [MASK] is a high-pitched trill.,eagle,vulture,swallow,hawk,C
western meadow lark,"clear, fluting whistle","The sound of a [MASK] is a clear, fluting whistle.",blue jay,western meadow lark,eagle,crow,B
crow,croaking,A [MASK] makes a croaking sound.,toad,crow,bullfrog,frog,B
lamb,bleating,A [MASK] makes a bleating sound when it is hungry.,sheep,cow,lamb,goat,C
cat,munching,Munching is the sound of a [MASK] eating.,giraffe,cat,zebra,elephant,B
penguin,splashing water,The sound of splashing water is often associated with [MASK] swimming.,koala,penguin,giraffe,elephant,B
bird,high-pitched alarm call,An [MASK] makes a high-pitched alarm call.,giraffe,lion,bird,elephant,C
parrot,squawking,Squawking is the sound a [MASK] makes.,penguin,parrot,owl,eagle,B
bird,singing,A [MASK] makes a beautiful singing sound.,snake,kangaroo,bird,fish,C
cicada,loud trill,The [MASK] makes a loud trill sound.,cricket,beetle,grasshopper,cicada,D
dog,Heavy breathing,Heavy breathing is the sound a [MASK] makes.,lion,dog,elephant,cat,B
crow,loud cawing,A [MASK] makes a loud cawing sound.,owl,crow,eagle,dove,B
cat,Nya,Nya is the sound a [MASK] makes.,dog,rabbit,mouse,cat,D
insects,Night insects,The sound of [MASK] can be heard during a summer night.,dolphins,kangaroos,insects,birds,C
sandhill crane,distinctive call,The sound of a [MASK] is a distinctive call in the winter.,snowy owl,sandhill crane,bald eagle,arctic fox,B
cow,Metal Cowbells Swinging.,The sound of metal pots being hit with spoons to mimic the sound of a [MASK].,elephant,cow,lion,zebra,B
bird,loud squawking,A [MASK] makes a loud squawking sound.,giraffe,bird,elephant,lion,B
horse,galloping,The sound of a [MASK] galloping can be heard in the countryside.,horse,elephant,zebra,giraffe,A
bird,popo,[MASK] make a popo sound when they poop.,kangaroo,snake,fish,bird,D
guinea pig,eating sound,A [MASK] makes a sound when eating.,hamster,mouse,rabbit,guinea pig,D
horse,hooves on pavement,The sound of hooves on pavement is associated with a [MASK].,horse,giraffe,elephant,zebra,A
dog,walking on linoleum,The sound of a [MASK] walking on linoleum is distinct.,rabbit,hamster,dog,cat,C
sheep,bleat,A [MASK] makes a bleat sound.,goat,cow,horse,sheep,D
cat,miaauw,A [MASK] makes a miaauw sound.,fish,dog,bird,cat,D
cicada,raspy ratcheting noise,A raspy ratcheting noise is associated with a [MASK].,grasshopper,cricket,beetle,cicada,D
bird,humming,Humming is the sound a [MASK] makes.,lion,zebra,bird,elephant,C
bee,buzzing,The sound of buzzing can be associated with a [MASK].,bee,eagle,dolphin,cheetah,A
dog,rhythmic breathing,A [MASK] makes a rhythmic breathing sound.,dog,lion,cat,elephant,A
bird,chirping,A [MASK] makes a chirping sound in a forest.,bird,snake,deer,bear,A
tiger,Roar,Roar is the sound a [MASK] makes.,cheetah,tiger,lion,jaguar,B
small dog,yapping,A [MASK] makes a high-pitched yapping sound.,small dog,bird,large dog,cat,A
exotic animal,Roar,Roar is the sound a [MASK] makes.,zebra,exotic animal,cheetah,tiger,B
bug,chirping,The sound of a [MASK] at dusk is a chirping sound.,kangaroo,bear,bug,eagle,C
insect,buzzing,The sound of a [MASK] buzzing.,insect,bear,kangaroo,eagle,A
bird,mechanical and rhythmic,A [MASK] makes a sound that can be mistaken for a car alarm.,dog,cat,bird,raccoon,C
horse,walking on paving stones,The sound of a [MASK] walking on paving stones is distinct.,elephant,giraffe,zebra,horse,D
tu hú bird,'TuHú',The sound of a [MASK] is 'TuHú'.,eagle,flamingo,penguin,tu hú bird,D
hamster,squeaking,Squeaking is the sound a [MASK] makes.,lion,elephant,giraffe,hamster,D
horse,neighing,A [MASK] makes a sound of neighing.,horse,elephant,zebra,donkey,A
woodpecker,woodpecker tap,The sound of a [MASK] tapping on a tree is called a 'woodpecker tap.',eagle,crow,owl,woodpecker,D
cicada,sound,The sound of a [MASK] is often heard in tropical environments.,cicada,platypus,armadillo,sloth,A
fly,high-pitched buzz,The sound of a [MASK] hitting a lamp is a high-pitched buzz.,mosquito,bee,fly,butterfly,C
northern cardinal,bird call,The sound of a [MASK] singing is a distinctive bird call.,woodpecker,blue jay,sparrow,northern cardinal,D
horse,trotting,The sound of a [MASK] trotting on hard ground is distinct.,zebra,horse,giraffe,elephant,B
dog,bark,Bark is the sound a [MASK] makes.,cat,fish,dog,bird,C
thrush,singing,The sound of a [MASK] singing is often heard in the forest.,eagle,thrush,bear,deer,B
dog,moaning and yawning,A [MASK] makes a moaning and yawning sound.,lion,elephant,dog,cat,C
mammal,Roar,Roar is the sound a [MASK] makes.,elephant,mammal,zebra,tiger,B
possum,defensive,A [MASK] makes a defensive sound.,fox,bear,deer,possum,D
lamb,high-pitched bleating,A [MASK] makes a high-pitched bleating sound.,sheep,goat,lamb,calf,C
cricket,chirping,A [MASK] makes a chirping sound in the desert.,camel,cricket,scorpion,cobra,B
bird,flute-like song,The flute-like song is the sound of a [MASK].,bear,bird,kangaroo,tiger,B
coyote,high-pitched whining sound,A [MASK] makes a high-pitched whining sound.,wolf,bear,fox,coyote,D
insect,buzz,The sound of [MASK] flying is a buzz.,vulture,hawk,insect,eagle,C
bird,"distinctive, repetitive song","The sound of a [MASK] is a distinctive, repetitive song.",snake,bird,kangaroo,fish,B
rooster,Kokouukuuu,Kokouukuuu is the sound a [MASK] makes.,duck,rooster,chicken,goose,B
animal,Grr,Grr is the sound a [MASK] makes.,animal,giraffe,zebra,elephant,A
horse,hooves,The sound of [MASK] hooves can be heard when riding.,horse,zebra,elephant,giraffe,A
cicada,cicada,The sound of [MASK] can be heard during the summer in the woods.,deer,fox,bear,cicada,D
bird,chirping,A [MASK] makes a chirping sound when being fed.,bird,fish,cat,dog,A
bullfinch,whistling and creaking,Whistling and creaking in the forest in the spring is associated with a [MASK].,eagle,whale,penguin,bullfinch,D
bird,chirping,A [MASK] makes a chirping sound in the tropical forest.,bird,sloth,jaguar,monkey,A
cat,growling,A [MASK] makes a growling sound when it is upset.,lion,gorilla,elephant,cat,D
fly,buzzing,The sound of a [MASK] is a buzzing noise.,mosquito,butterfly,bee,fly,D
chick,biddie,A [MASK] makes a sound like a biddie.,chick,goose,turkey,duck,A
monkey,chattering and squeaking,A [MASK] makes a chattering and squeaking sound.,squirrel,rabbit,monkey,hamster,C
snake,Hiss,Hiss is the sound a [MASK] makes.,tiger,bear,lion,snake,D
bird,constant call,A [MASK] makes a constant call.,snake,bird,fish,kangaroo,B
chick,ticking,A [MASK] makes a ticking sound.,duck,chick,turkey,goose,B
bird,call,The [MASK] makes a distinctive call in the rainforest.,jaguar,sloth,bird,monkey,C
horse,clip-clop,The sound of a horse-drawn carriage is often accompanied by the clip-clop of [MASK] hooves.,zebra,elephant,giraffe,horse,D
rhinoceros,trumpeting,A [MASK] makes a trumpeting sound in a fictional play.,giraffe,elephant,lion,rhinoceros,D
falcon,high-pitched screeching,A [MASK] makes a high-pitched screeching sound.,falcon,hawk,eagle,owl,A
coot,call,The sound of a [MASK] is a distinctive call in the wild.,duck,goose,coot,swan,C
birds,Chirping,Chirping is the sound that [MASK] make in the garden.,birds,tigers,monkeys,snakes,A
sparrow,chirping,A [MASK] makes a chirping sound to call its mother.,sparrow,penguin,eagle,owl,A
bird,lonely call,A [MASK] makes a sound that can be described as a lonely call.,bird,elephant,lion,crocodile,A
cricket,chirr,The [MASK] makes a chirr sound.,cricket,mosquito,butterfly,caterpillar,A
sparrow,chirping,A [MASK] makes a chirping sound.,bear,sparrow,whale,eagle,B
cricket,chirping,A [MASK] makes a chirping sound in the summer.,mosquito,cricket,caterpillar,butterfly,B
bee,buzzing,The sound of a [MASK] is a buzzing noise.,ant,fly,mosquito,bee,D
dog,slurping,The sound of [MASK] drinking water is slurping.,dog,bird,cat,rabbit,A
cat,the sound of a cat eating,The sound of a cat eating is a [MASK] noise.,mouse,cat,rabbit,dog,B
bird,"sweet, melodic chirping","The sound of a [MASK] is a sweet, melodic chirping.",snake,bear,kangaroo,bird,D
bird,yellow warbler song,The sound of a [MASK] can be heard in nature.,bird,kangaroo,fish,snake,A
cat,hissing,An [MASK] makes a hissing sound when it is angry.,rabbit,mouse,dog,cat,D
dog,growling,An angry [MASK] makes a growling sound.,cat,lion,dog,elephant,C
squirrel,"high-pitched, chattering","A [MASK] makes a high-pitched, chattering sound.",eagle,squirrel,kangaroo,bear,B
tree frog,high-pitched trill,A [MASK] makes a high-pitched trill sound.,elephant,crocodile,tree frog,lion,C
grasshopper,high-pitched chirp,The sound of a [MASK] singing in a field is a high-pitched chirp.,grasshopper,cicada,frog,cricket,A
black grouse,Teeri,The sound of a [MASK] during mating season is called Teeri.,willow grouse,red grouse,black grouse,ptarmigan,C
bird,the sound of cranes in the air,The sound of cranes in the air is a [MASK].,bird,eagle,vulture,hawk,A
cat,MREEEHH,MREEEHH is the sound a [MASK] makes.,cat,dog,rabbit,mouse,A
donkey,braying,A [MASK] makes a braying sound.,giraffe,horse,zebra,donkey,D
bird,chirping,A [MASK] makes a chirping sound when it flies away.,kangaroo,fish,bird,snake,C
cat,scratching,The sound of claws scratching is typically associated with a [MASK].,elephant,cat,dog,lion,B
horse,trotting,The sound of a [MASK] trotting on a dirt track is distinct.,giraffe,horse,elephant,zebra,B
cricket,sound,The sound of a [MASK] is often heard in the country at night.,frog,owl,cricket,bat,C
dog,Lapping,Lapping is the sound a [MASK] makes when drinking water.,horse,dog,cat,rabbit,B
dog,mumble,A [MASK] makes a mumble sound.,cat,rabbit,horse,dog,D
dog,sniffing and licking,Sniffing and licking is what a [MASK] does.,dog,bird,cat,rabbit,A
lark,melodic singing,The [MASK] makes a melodic singing sound.,snake,lark,bat,owl,B
seagull,screeching,Screeching is the sound a [MASK] makes.,seagull,owl,eagle,crow,A
birds,beautiful songs,[MASK] make beautiful songs in the forest.,snakes,tigers,monkeys,birds,D
horse,horse walking,The sound of a [MASK] walking is often mimicked by hitting a coconut.,elephant,zebra,horse,giraffe,C
dog,high-pitched yapping,A [MASK] makes a high-pitched yapping sound.,rabbit,cat,hamster,dog,D
bird,fluttering,The sound of a [MASK] fluttering close to the microphone is a common effect in field recordings.,kangaroo,bird,snake,bear,B
cuckoo,cuckoo,The sound of a [MASK] is a distinctive cuckoo.,parrot,penguin,koala,cuckoo,D
cow,mooing,The sound [MASK] makes is a mooing sound.,sheep,goat,horse,cow,D
sheep,Maa,Maa is the sound a [MASK] makes.,goat,sheep,cow,horse,B
horse,galloping,Galloping is the sound of a [MASK] moving at a fast pace.,zebra,giraffe,elephant,horse,D
dog,Crunching,Crunching is the sound a [MASK] makes when eating.,dog,cat,rabbit,hamster,A
raccoon,growling and hissing,A [MASK] makes a growling and hissing sound.,elephant,lion,giraffe,raccoon,D
cicada,high-pitched buzz,The sound of a [MASK] is a high-pitched buzz.,fly,cicada,bee,mosquito,B
dog,jingling,The sound of a [MASK] collar jingling is often heard.,cat,dog,rabbit,hamster,B
geese,honking,A [MASK] makes a honking sound when flying in a flock.,geese,swans,flamingos,ducks,A
cicadas,cicadas,The sound of [MASK] can be heard during the summer in China.,crickets,birds,frogs,cicadas,D
sparrow,trill,The sound of a [MASK] can be described as a trill.,owl,sparrow,vulture,eagle,B
bird,splashing sound,A [MASK] makes a sound when it splashes in the water.,fish,bird,whale,crocodile,B
rhino,Grunting,Grunting is the sound a [MASK] makes.,giraffe,rhino,zebra,gorilla,B
chicken,squeezy,Squeezy is the sound a [MASK] makes.,chicken,goose,duck,turkey,A
horse,Clinging,Clinging is the sound a [MASK] harness makes.,horse,zebra,elephant,giraffe,A
dog,high-pitched howling,A [MASK] makes a high-pitched howling sound.,mouse,cat,rabbit,dog,D
greater flamingo,honk,A [MASK] makes a sound like a honk.,duck,greater flamingo,swan,goose,B
elephant,snort,An [MASK] makes a sound like a snort.,cheetah,elephant,giraffe,zebra,B
dachshund,playful growling,A [MASK] makes a playful growling sound.,dachshund,beagle,bulldog,poodle,A
dove,fling,The sound of birds starting to fly is associated with a [MASK].,hawk,eagle,falcon,dove,D
insects,crickets,The sound of crickets is a [MASK] sound.,mammals,reptiles,insects,birds,C
animal,'pasos',The sound of a [MASK] walking is known as 'pasos'.,zebra,animal,giraffe,lion,B
pig,snorting,A [MASK] makes a snorting sound.,goat,cow,sheep,pig,D
warbler,melodic song,"The sound of a [MASK] is a musical, melodic song.",owl,hummingbird,sparrow,warbler,D
deer,startled,A [MASK] makes a startled sound.,squirrel,rabbit,deer,fox,C
cacomixtle,mating season sound,A [MASK] makes a sound during mating season.,cacomixtle,armadillo,opossum,skunk,A
fish,glub glub,Glub glub is the sound of a [MASK] swimming in water.,eagle,kangaroo,bear,fish,D
dog,grumbling,A [MASK]'s stomach can make a grumbling sound.,horse,cat,dog,rabbit,C
parrot,high-pitched squawk,A [MASK] makes a high-pitched squawk sound.,vulture,owl,parrot,eagle,C
cow,deep moo,A [MASK] makes a deep moo sound.,goat,sheep,cow,horse,C
grasshopper,buzzing,The sound of rustling leaves and buzzing is often associated with a [MASK].,cricket,bee,grasshopper,butterfly,C
dog,Whining,Whining is the sound a [MASK] makes when it's happy.,horse,dog,rabbit,cat,B
horse,neighing,A [MASK] makes a neighing sound.,donkey,horse,elephant,zebra,B
song thrush,singing,The sound of a [MASK] singing is a beautiful melody in nature.,tiger,song thrush,dolphin,eagle,B
dragon,heartbeat,A [MASK] has a strong heartbeat.,lion,dragon,elephant,tiger,B
bird,chirping,A [MASK] makes a chirping sound at night in the forest.,raccoon,bat,possum,bird,D
bird,singing,The [MASK] makes a beautiful singing sound.,snake,kangaroo,bird,fish,C
dog,thumping,A [MASK] makes a thumping sound when it jumps against the door.,rabbit,dog,cat,kangaroo,B
bird,birdsong,The sound of a [MASK] is often heard in urban areas during spring migration.,opossum,squirrel,bird,raccoon,C
sandhill crane,trumpeting,The [MASK] makes a distinctive trumpeting sound.,eagle,owl,penguin,sandhill crane,D
coyote,yip,Yip is the sound a [MASK] makes.,coyote,fox,wolf,jackal,A
bird,calling,The [MASK] makes a distinctive marshland calling sound.,penguin,owl,eagle,bird,D
bee,high-pitched buzz,The sound of a [MASK] is a high-pitched buzz.,gorilla,cheetah,bee,eagle,C
mouse,sound,A [MASK] makes a sound when caught in a trap.,mouse,lion,elephant,tiger,A
bird,crazy song,A [MASK] makes a crazy song.,bird,fish,kangaroo,snake,A
birds,chirping,[MASK] make chirping sounds in the forest.,birds,tigers,monkeys,snakes,A
penguin,Waddle,Waddle is the sound a [MASK] makes.,lion,penguin,elephant,crocodile,B
cricket,sound,"At night, the sound of [MASK] can be heard in the wild.",bear,eagle,cricket,kangaroo,C
bird,whistling,"The sound of a [MASK] is a distinctive, high-pitched whistling.",bird,bear,kangaroo,tiger,A
buffalo,"low, rumbling growl","An [MASK] makes a low, rumbling growl when it is angry.",lion,buffalo,tiger,bear,B
howler monkey,massive howling and growling,A [MASK] makes a massive howling and growling sound.,orangutan,howler monkey,chimpanzee,gorilla,B
goat,bell,The sound of a [MASK] with a bell around its neck is often heard in rural areas.,goat,sheep,horse,cow,A
kitten,mew,Mew is the sound a [MASK] makes.,kitten,puppy,lamb,calf,A
goose,quack,A [MASK] makes a quack sound.,goose,duck,turkey,chicken,A
cicadas,high-pitched whine,The sound of [MASK] at night is often described as a high-pitched whine.,crickets,bats,owls,cicadas,D
green catbird,'pip',The [MASK] makes a 'pip' sound when it changes direction.,blue jay,red cardinal,green catbird,yellow finch,C
turtle,slurping,Slurping is the sound of a [MASK] eating.,crocodile,snake,turtle,alligator,C
seagull,high-pitched varied chattering,A [MASK] makes a high-pitched varied chattering sound.,bat,owl,seagull,eagle,C
monkey,alarm call,A [MASK] makes an alarm call.,zebra,elephant,monkey,giraffe,C
bird,singing,The sound of birds singing is associated with [MASK],snake,kangaroo,fish,bird,D
bumblebee,buzzing,The sound of a [MASK] buzzing around a flower is a common sound in nature.,mosquito,fly,wasp,bumblebee,D
